
==========================================================================================================================================

Serpent continuous-energy Monte Carlo code version 1.1.19

Input file:   MOXEUS_00024.se
Date:         Tue Mar 18 10:15:38 2025
Title:        MOXEUS_00020

Random seed:  1742289338

Memory allocated for DATA array:     2620496000 bytes (2499.10 Mb)
Memory allocated for RESULTS array:    5171880 bytes (5050.66 kb)
Memory allocated for ASCII array:       436766 bytes (426.53 kb)
Total allocated memory:              2626104646 bytes (2504.45 Mb)

==========================================================================================================================================

XS data (1561 isotopes)

==========================================================================================================================================

Columns: 1 - Pointer in DATA array
         2 - Nuclide alias
         3 - Nuclide name in ace file
         4 - Nuclide ZAI
         5 - Atomic weight ratio
         6 - Temperature (K)
153/1561   128748 Xe-129.09c  54129.09c 541290 128.90  900 8241 /home/serpent/xs/jeff311/acedata/54129JEF311.ace
154/1561   129300 Xe-130.09c  54130.09c 541300 129.90  900 8753 /home/serpent/xs/jeff311/acedata/54130JEF311.ace
155/1561   129852 Xe-131.09c  54131.09c 541310 130.91  900 8241 /home/serpent/xs/jeff311/acedata/54131JEF311.ace
156/1561   130404 Xe-132.09c  54132.09c 541320 131.90  900 8241 /home/serpent/xs/jeff311/acedata/54132JEF311.ace
157/1561   130956 Xe-133.09c  54133.09c 541330 132.91  900 8225 /home/serpent/xs/jeff311/acedata/54133JEF311.ace
158/1561   131508 Xe-134.09c  54134.09c 541340 133.91  900 8241 /home/serpent/xs/jeff311/acedata/54134JEF311.ace
159/1561   132060 Xe-135.09c  54135.09c 541350 134.91  900 8225 /home/serpent/xs/jeff311/acedata/54135JEF311.ace
160/1561   132612 Xe-136.09c  54136.09c 541360 135.91  900 8241 /home/serpent/xs/jeff311/acedata/54136JEF311.ace
161/1561   133164 Cs-133.09c  55133.09c 551330 132.91  900 8241 /home/serpent/xs/jeff311/acedata/55133JEF311.ace
162/1561   133716 Cs-134.09c  55134.09c 551340 133.91  900 8225 /home/serpent/xs/jeff311/acedata/55134JEF311.ace
163/1561   134268 Cs-135.09c  55135.09c 551350 134.91  900 8241 /home/serpent/xs/jeff311/acedata/55135JEF311.ace
164/1561   134820 Cs-136.09c  55136.09c 551360 135.91  900 8225 /home/serpent/xs/jeff311/acedata/55136JEF311.ace
165/1561   135372 Cs-137.09c  55137.09c 551370 136.91  900 8241 /home/serpent/xs/jeff311/acedata/55137JEF311.ace
166/1561   135924 Ba-130.09c  56130.09c 561300 129.91  900 8753 /home/serpent/xs/jeff311/acedata/56130JEF311.ace
167/1561   136476 Ba-132.09c  56132.09c 561320 131.91  900 8241 /home/serpent/xs/jeff311/acedata/56132JEF311.ace
168/1561   137028 Ba-133.09c  56133.09c 561330 132.91  900 8241 /home/serpent/xs/jeff311/acedata/56133ENDF7.ace
169/1561   137580 Ba-134.09c  56134.09c 561340 133.90  900 8241 /home/serpent/xs/jeff311/acedata/56134JEF311.ace
170/1561   138132 Ba-135.09c  56135.09c 561350 134.91  900 8241 /home/serpent/xs/jeff311/acedata/56135JEF311.ace
171/1561   138684 Ba-136.09c  56136.09c 561360 135.90  900 8241 /home/serpent/xs/jeff311/acedata/56136JEF311.ace
172/1561   139236 Ba-137.09c  56137.09c 561370 136.91  900 8241 /home/serpent/xs/jeff311/acedata/56137JEF311.ace
173/1561   139788 Ba-138.09c  56138.09c 561380 137.90  900 8753 /home/serpent/xs/jeff311/acedata/56138JEF311.ace
174/1561   140340 Ba-140.09c  56140.09c 561400 139.91  900 8753 /home/serpent/xs/jeff311/acedata/56140JEF311.ace
175/1561   140892 La-138.09c  57138.09c 571380 137.91  900 8753 /home/serpent/xs/jeff311/acedata/57138JEF311.ace
176/1561   141444 La-139.09c  57139.09c 571390 138.91  900 8753 /home/serpent/xs/jeff311/acedata/57139JEF311.ace
177/1561   141996 La-140.09c  57140.09c 571400 139.91  900 8737 /home/serpent/xs/jeff311/acedata/57140JEF311.ace
178/1561   142548 Ce-136.09c  58136.09c 581360 135.91  900 8241 /home/serpent/xs/jeff311/acedata/58136ENDF7.ace
179/1561   143100 Ce-138.09c  58138.09c 581380 137.91  900 8753 /home/serpent/xs/jeff311/acedata/58138ENDF7.ace
180/1561   143652 Ce-139.09c  58139.09c 581390 138.91  900 8753 /home/serpent/xs/jeff311/acedata/58139ENDF7.ace
181/1561   144204 Ce-140.09c  58140.09c 581400 139.91  900 8737 /home/serpent/xs/jeff311/acedata/58140JEF311.ace
182/1561   144756 Ce-141.09c  58141.09c 581410 140.91  900 8753 /home/serpent/xs/jeff311/acedata/58141JEF311.ace
183/1561   145308 Ce-142.09c  58142.09c 581420 141.91  900 8753 /home/serpent/xs/jeff311/acedata/58142JEF311.ace
184/1561   145860 Ce-143.09c  58143.09c 581430 142.91  900 8225 /home/serpent/xs/jeff311/acedata/58143JEF311.ace
185/1561   146412 Ce-144.09c  58144.09c 581440 143.91  900 8753 /home/serpent/xs/jeff311/acedata/58144JEF311.ace
186/1561   146964 Pr-141.09c  59141.09c 591410 140.91  900 8753 /home/serpent/xs/jeff311/acedata/59141JEF311.ace
187/1561   147516 Pr-142.09c  59142.09c 591420 141.91  900 8737 /home/serpent/xs/jeff311/acedata/59142JEF311.ace
188/1561   148068 Pr-143.09c  59143.09c 591430 142.91  900 8225 /home/serpent/xs/jeff311/acedata/59143JEF311.ace
189/1561   148620 Nd-142.09c  60142.09c 601420 141.91  900 8737 /home/serpent/xs/jeff311/acedata/60142JEF311.ace
190/1561   149172 Nd-143.09c  60143.09c 601430 142.91  900 8241 /home/serpent/xs/jeff311/acedata/60143JEF311.ace
191/1561   149724 Nd-144.09c  60144.09c 601440 143.91  900 8753 /home/serpent/xs/jeff311/acedata/60144JEF311.ace
